Month,Flight distance,Contrail warming,Warming per flight distance ,Region
Feb,4.62,0.03,7.36,Nadi FIR
Feb,1.44,0.01,7.58,Tahiti Oceanic FIR
Feb,9.31,-0.0,-0.39,New Zealand FIR
Feb,8.09,0.09,11.28,Auckland Oceanic FIR
Feb,6.1,0.07,10.69,Kabul FIR
Feb,14.69,0.0,0.17,Bahrain FIR
Feb,43.26,0.02,0.57,Jeddah FIR
Feb,39.92,0.09,2.34,Tehran FIR
Feb,1.45,0.0,1.23,Amman FIR
Feb,3.97,0.0,0.84,Kuwait FIR
Feb,0.46,0.0,1.24,Beirut FIR
Feb,13.76,0.0,0.01,Emirates FIR
Feb,24.8,0.0,0.03,Muscat FIR
Feb,16.55,0.03,2.07,Karachi FIR
Feb,6.42,0.04,6.01,Lahore FIR
Feb,15.32,0.03,1.97,Baghdad FIR
Feb,1.61,0.01,4.73,Damascus FIR
Feb,3.15,0.0,0.23,Sanaa FIR
Feb,27.39,1.15,42.04,Alaska FIR
Feb,31.54,0.01,0.25,Taipei FIR
Feb,135.3,0.43,3.17,Fukuoka FIR
Feb,32.95,0.18,5.38,Incheon FIR
Feb,43.83,0.11,2.61,Manila FIR
Feb,4.18,0.01,2.24,Cordoba FIR
Feb,5.74,0.0,0.32,Ezeiza FIR
Feb,1.61,0.0,0.37,Mendoza FIR
Feb,1.68,0.01,3.48,Resistencia FIR
Feb,1.44,0.0,0.84,Comodoro Rivadavia FIR
Feb,6.91,0.15,21.76,Atlantico FIR
Feb,15.8,0.39,24.74,Amazonica FIR
Feb,23.76,0.22,9.4,Brasilia FIR
Feb,23.35,0.07,2.88,Curitiba FIR
Feb,22.03,0.37,16.83,Recife FIR
Feb,0.75,0.01,7.96,Punta Arenas FIR
Feb,6.69,0.0,0.43,Santiago FIR
Feb,6.95,0.02,2.75,Antofagasta FIR
Feb,0.61,0.02,27.71,Isla De Pascua FIR
Feb,1.95,0.0,0.35,Puerto Montt FIR
Feb,4.12,0.03,6.57,Guayaquil FIR/UIR
Feb,1.06,0.01,4.87,Asuncion FIR/UIR
Feb,6.62,0.02,2.63,Barranquilla FIR
Feb,13.47,0.09,6.58,Bogota FIR
Feb,3.48,0.06,16.95,La Paz FIR
Feb,0.84,0.01,8.19,Paramaribo FIR
Feb,0.56,0.0,8.84,Cayenne FIR
Feb,15.35,0.14,8.92,Lima FIR
Feb,1.89,0.0,0.81,Montevideo FIR
Feb,2.6,0.02,8.29,Maiquetia FIR
Feb,1.32,0.01,8.15,Georgetown FIR
Feb,8.18,0.0,0.07,San Juan Oceanic FIR/UIR
Feb,2.48,0.0,0.14,Curacao FIR
Feb,6.34,0.04,6.25,Piarco FIR
Feb,3.53,0.42,118.27,Almaty FIR
Feb,4.71,0.65,138.35,Nur-Sultan FIR
Feb,4.82,0.49,100.98,Shymkent FIR
Feb,8.29,0.69,82.97,Aktobe FIR
Feb,4.48,0.05,10.23,Baku FIR
Feb,0.36,0.03,72.62,Bishkek FIR
Feb,0.31,0.02,60.45,Osh FIR
Feb,0.9,0.0,5.02,Yerevan FIR
Feb,7.72,0.24,30.88,Yakutsk FIR
Feb,2.45,0.05,20.44,Tibilisi FIR
Feb,12.45,0.02,1.87,Khabarovsk FIR
Feb,9.19,0.19,20.89,Magadan FIR
Feb,5.38,0.01,2.03,Petropavlovsk-Kamchatsky FIR
Feb,6.7,0.15,22.34,Irkutsk FIR
Feb,2.82,0.2,71.28,Kiev FIR
Feb,0.65,0.07,111.28,Dnipro FIR
Feb,1.38,0.09,61.94,Simferopol FIR
Feb,2.71,0.2,75.65,Lvov FIR
Feb,1.29,0.11,87.58,Odessa FIR
Feb,2.58,0.06,24.66,Arkhangelsk FIR
Feb,1.21,0.08,65.68,Kotlas FIR
Feb,8.03,0.63,78.06,Sankt-Peterburg FIR
Feb,1.85,0.02,8.67,Murmansk FIR
Feb,4.27,0.29,66.83,Vologda FIR
Feb,1.0,0.06,58.37,Kaliningrad FIR
Feb,9.12,0.78,85.49,Minsk FIR
Feb,12.15,0.76,62.81,Krasnoyarsk FIR
Feb,13.6,1.15,84.78,Novosibirsk FIR
Feb,16.33,1.47,89.92,Rostov-Na-Donu FIR
Feb,13.51,1.03,75.9,Yekaterinburg FIR
Feb,10.89,0.7,64.73,Tyumen FIR
Feb,2.24,0.02,7.04,Ashgabat FIR
Feb,2.27,0.03,14.12,Turkmenbashi FIR
Feb,0.46,0.02,34.58,Dashoguz FIR
Feb,1.37,0.02,12.75,Turkmenabat FIR
Feb,0.39,0.01,19.33,Dushanbe FIR
Feb,1.7,0.06,36.29,Samarkand FIR
