Region,Subset,Share below 50% capacity (%),Share below avg capacity (%)
Switzerland FIR,Night (20h–04h),18.765702330052374,31.81536555244227
Switzerland FIR,Winter & Night,6.097259395419729,15.268386607891836
Switzerland FIR,Winter (Oct–Mar),34.768552060389844,52.54568286306207
Tallinn FIR,All hours,22.22335541981261,50.029549922443174
Tallinn FIR,Night (20h–04h),0.49724532315907294,19.899603765825017
Tallinn FIR,Winter & Night,0.997727208524136,14.527221866404812
Tallinn FIR,Winter (Oct–Mar),19.913557032199392,48.576623609389515
Tibilisi FIR,All hours,8.231393924300297,59.03380321281736
Tibilisi FIR,Night (20h–04h),6.939900243721668,22.912250754706626
Tibilisi FIR,Winter & Night,6.586887212020016,18.797735732071576
Tibilisi FIR,Winter (Oct–Mar),8.072123376216295,48.76127600858305
Tirana FIR,All hours,8.775372843793962,55.00294878878488
Tirana FIR,Night (20h–04h),0.7321887611827813,16.51873409785844
Tirana FIR,Winter & Night,0.0,12.162334563450223
Tirana FIR,Winter (Oct–Mar),1.2132489074347017,48.883433291251045
Vilnius FIR,All hours,10.277837877392466,64.72962150729575
Vilnius FIR,Night (20h–04h),0.0196,14.89623121345557
Vilnius FIR,Winter & Night,0.0196,10.951933017448098
Vilnius FIR,Winter (Oct–Mar),8.988508722719429,58.5409088534759
Warszawa FIR,All hours,37.07292185447948,68.99069581330043
Warszawa FIR,Night (20h–04h),2.217131483565614,22.84435848830989
Warszawa FIR,Winter & Night,1.6810718805771359,15.409463672407455
Warszawa FIR,Winter (Oct–Mar),25.642174772248744,53.356213630990446
Wien FIR,All hours,52.909991230250085,68.41792850186593
Wien FIR,Night (20h–04h),7.098196685829597,27.796093161877252
Wien FIR,Winter & Night,2.177155867613754,12.069054620443776
Wien FIR,Winter (Oct–Mar),27.429499986941547,46.88801582381929
Yerevan FIR,All hours,9.629561432126646,65.19401315437611
Yerevan FIR,Night (20h–04h),6.634406313736801,25.750096593124965
Yerevan FIR,Winter & Night,6.608345373796358,21.32919914947718
Yerevan FIR,Winter (Oct–Mar),9.11001654444321,53.739682077287924
Zagreb FIR,All hours,19.7255291694594,52.36728019253594
Zagreb FIR,Night (20h–04h),3.1549457946314123,25.90558039176174
Zagreb FIR,Winter & Night,1.208821879574415,12.596973465275777
Zagreb FIR,Winter (Oct–Mar),5.385039017640954,42.75006873167026
