Date,Departure airport,Number of big hits
2019-05-20,London Heathrow Airport,68
2019-05-21,Charles de Gaulle International Airport,58
2019-05-21,Frankfurt am Main Airport,47
2019-05-21,London Heathrow Airport,65
2019-05-22,Charles de Gaulle International Airport,45
2019-05-22,Frankfurt am Main Airport,51
2019-05-22,London Heathrow Airport,88
2019-05-23,Charles de Gaulle International Airport,48
2019-05-23,Frankfurt am Main Airport,53
2019-05-23,London Heathrow Airport,87
2019-05-24,Charles de Gaulle International Airport,56
2019-05-24,Frankfurt am Main Airport,71
2019-05-24,London Heathrow Airport,77
2019-05-25,Charles de Gaulle International Airport,37
2019-05-25,Frankfurt am Main Airport,44
2019-05-25,London Heathrow Airport,47
2019-05-26,Charles de Gaulle International Airport,63
2019-05-26,Frankfurt am Main Airport,63
2019-05-26,London Heathrow Airport,88
2019-05-27,Charles de Gaulle International Airport,63
2019-05-27,Frankfurt am Main Airport,44
2019-05-27,London Heathrow Airport,72
2019-05-28,Charles de Gaulle International Airport,39
2019-05-28,Frankfurt am Main Airport,38
2019-05-28,London Heathrow Airport,60
2019-05-29,Charles de Gaulle International Airport,76
2019-05-29,Frankfurt am Main Airport,65
2019-05-29,London Heathrow Airport,145
2019-05-30,Charles de Gaulle International Airport,60
2019-05-30,Frankfurt am Main Airport,44
2019-05-30,London Heathrow Airport,90
2019-05-31,Charles de Gaulle International Airport,27
2019-05-31,Frankfurt am Main Airport,43
2019-05-31,London Heathrow Airport,62
2019-06-01,Charles de Gaulle International Airport,25
2019-06-01,Frankfurt am Main Airport,22
2019-06-01,London Heathrow Airport,46
2019-06-02,Charles de Gaulle International Airport,28
2019-06-02,Frankfurt am Main Airport,34
2019-06-02,London Heathrow Airport,61
2019-06-03,Charles de Gaulle International Airport,25
2019-06-03,Frankfurt am Main Airport,27
2019-06-03,London Heathrow Airport,50
2019-06-04,Charles de Gaulle International Airport,33
2019-06-04,Frankfurt am Main Airport,29
2019-06-04,London Heathrow Airport,97
2019-06-05,Charles de Gaulle International Airport,21
2019-06-05,Frankfurt am Main Airport,29
2019-06-05,London Heathrow Airport,45
2019-06-06,Charles de Gaulle International Airport,20
