,time,file,region_id,area_km2,pt in mask,vol_km3,thickness_m,std_thickness,mean_FL,mean_lat,mean_lon,mean_forcing,max_forcing,std_forcing,min_lat,max_lat,min_lon,max_lon,min_FL,max_FL,area_by_FL
1469637,2024-09-18 04:00:00,20240918T04.nc,102,688.54266,1,209.86780385742188,304.8,0.0,410.0,27.0,-50.249996,545366800.0,545366800.0,0.0,27.0,27.0,-50.25,-50.25,410,410,{410: 688.5426635742188}
2163959,2024-11-15 18:00:00,20241115T18.nc,360,853.0401,2,520.0132450195306,609.5999999999992,152.39999999999964,315.0,56.5,9.25,587985860.0,595331460.0,7345600.0,56.5,56.5,9.25,9.25,310,320,"{310: 426.5200500488281, 320: 426.5200500488281}"
2689324,2024-12-31 05:00:00,20241231T05.nc,295,983.0836,2,299.6438868164063,304.8,0.0,340.0,50.5,-34.875,2305898000.0,2376036900.0,70139010.0,50.5,50.5,-35.0,-34.75,340,340,{340: 983.0836181640625}
886743,2024-06-09 11:00:00,20240609T11.nc,146,1063.8788,2,324.2702534179688,304.8,0.0,330.0,46.5,2.8750002,515258530.0,524686270.0,9427744.0,46.5,46.5,2.75,3.0,330,330,{330: 1063.8787841796875}
209994,2024-02-10 01:00:00,20240210T01.nc,12,688.54266,1,209.86780385742188,304.8,0.0,330.0,27.0,5.9999995,508729150.0,508729150.0,0.0,27.0,27.0,6.0,6.0,330,330,{330: 688.5426635742188}
2435146,2024-12-08 20:00:00,20241208T20.nc,15,4261.3936,6,2597.7455109375046,609.600000000001,152.40000000000057,335.0,23.20811,-19.916769,1149733200.0,2315235800.0,663352600.0,23.0,23.5,-20.0,-19.75,330,340,"{330: 1421.351806640625, 340: 2840.041748046875}"
2039745,2024-11-05 01:00:00,20241105T01.nc,408,362.79333,1,110.57940849609376,304.8,0.0,280.0,62.000004,62.749996,512408260.0,512408260.0,0.0,62.0,62.0,62.75,62.75,280,280,{280: 362.7933349609375}
2671598,2024-12-29 18:00:00,20241229T18.nc,220,1083.2826,2,660.3690685546866,609.5999999999992,152.39999999999964,275.0,45.5,46.749996,690106430.0,698238600.0,8132160.0,45.5,45.5,46.75,46.75,270,280,"{270: 541.6412963867188, 280: 541.6412963867188}"
199494,2024-02-08 06:00:00,20240208T06.nc,270,409.50543,1,124.81725571289064,304.8,0.0,280.0,58.0,52.499996,514202560.0,514202560.0,0.0,58.0,58.0,52.5,52.5,280,280,{280: 409.50543212890625}
1478576,2024-09-18 21:00:00,20240918T21.nc,10,1447.6633,2,882.4955660156265,609.600000000001,152.40000000000057,405.0,20.5,-84.74999,1587847800.0,1975095600.0,387247740.0,20.5,20.5,-84.75,-84.75,400,410,"{400: 723.8316650390625, 410: 723.8316650390625}"
1109509,2024-07-23 19:00:00,20240723T19.nc,46,72007.56,110,109739.52525000004,1524.000000000001,431.0522938113196,420.0,32.086136,-83.86428,1302643800.0,4205142800.0,812669200.0,30.5,33.25,-85.5,-82.0,400,440,"{400: 648.0989990234375, 410: 6555.8427734375, 420: 7221.97119140625, 430: 28807.18359375, 440: 28774.455078125}"
1398378,2024-09-12 18:00:00,20240912T18.nc,664,341.7872,1,104.17673884277345,304.8,0.0,280.0,63.75,-19.5,707030000.0,707030000.0,0.0,63.75,63.75,-19.5,-19.5,280,280,{280: 341.7872009277344}
1945519,2024-10-26 08:00:00,20241026T08.nc,112,1716.043,3,523.0498968750001,304.8,0.0,330.0,42.24934,2.4999998,540017860.0,570888060.0,25501360.0,42.0,42.5,2.5,2.5,330,330,{330: 1716.04296875}
606299,2024-04-22 03:00:00,20240422T03.nc,31,1992.3691,3,607.2741140625001,304.8,0.0,380.0,30.75,15.749999,534867040.0,549743400.0,10606164.0,30.75,30.75,15.5,16.0,380,380,{380: 1992.369140625}
1383579,2024-09-11 20:00:00,20240911T20.nc,108,4077.943,6,2485.914123046872,609.5999999999992,152.39999999999964,435.0,28.416536,-88.49989,595728000.0,749570800.0,79451416.0,28.25,28.5,-88.75,-88.25,430,440,"{430: 3398.820068359375, 440: 679.123046875}"
1623110,2024-09-29 07:00:00,20240929T07.nc,209,527.02747,1,160.63797158203127,304.8,0.0,350.0,47.0,31.499998,698249340.0,698249340.0,0.0,47.0,47.0,31.5,31.5,350,350,{350: 527.0274658203125}
896564,2024-06-10 21:00:00,20240610T21.nc,124,539.23114,1,164.35765151367187,304.8,0.0,380.0,45.75,29.499998,509183460.0,509183460.0,0.0,45.75,45.75,29.5,29.5,380,380,{380: 539.2311401367188}
894338,2024-06-10 14:00:00,20240610T14.nc,243,478.4169,1,145.82147131347656,304.8,0.0,350.0,51.75,83.74999,550052860.0,550052860.0,0.0,51.75,51.75,83.75,83.75,350,350,{350: 478.4169006347656}
2405203,2024-12-06 02:00:00,20241206T02.nc,283,548.80963,1,167.27717563476563,304.8,0.0,280.0,44.75,-53.749996,615681600.0,615681600.0,0.0,44.75,44.75,-53.75,-53.75,280,280,{280: 548.8096313476562}
1843483,2024-10-18 02:00:00,20241018T02.nc,146,1130.3356,2,344.5262821289063,304.8,0.0,340.0,43.0,-29.124998,732082400.0,768284600.0,36202176.0,43.0,43.0,-29.25,-29.0,340,340,{340: 1130.3355712890625}
35389,2024-01-08 02:00:00,20240108T02.nc,98,546.43054,1,166.55202919921877,304.8,0.0,270.0,45.0,33.499996,513285980.0,513285980.0,0.0,45.0,45.0,33.5,33.5,270,270,{270: 546.4305419921875}
