week,region,+80th-percentile,+95th-percentile,Negative,Non-zero,Positive
6,Sweden FIR,0.037,0.0081,0.0319,0.1499,0.118
6,Switzerland FIR,0.0814,0.021,0.1086,0.3572,0.2486
6,Tallinn FIR,0.0258,0.0057,0.013,0.0783,0.0652
6,Tirana FIR,0.0258,0.009,0.0719,0.1822,0.1104
6,Vilnius FIR,0.0451,0.0087,0.0491,0.2387,0.1896
6,Warszawa FIR,0.1065,0.0191,0.0792,0.5,0.4208
6,Wien FIR,0.0794,0.0143,0.1168,0.4155,0.2987
6,Zagreb FIR,0.0558,0.0104,0.0841,0.2758,0.1917
7,Global,0.0187,0.0046,0.0172,0.071,0.0538
7,Europe,0.0434,0.0065,0.0432,0.1663,0.1231
7,European Airspace,0.0374,0.0069,0.0279,0.1278,0.0999
7,Africa Middle East,0.0128,0.0038,0.011,0.0455,0.0345
7,East Asia,0.0096,0.0018,0.0143,0.0509,0.0366
7,Southeast Asia,0.0161,0.0054,0.0134,0.0555,0.0421
7,India,0.0106,0.004,0.0128,0.0481,0.0353
7,China,0.015,0.0027,0.0276,0.0963,0.0687
7,Latin America,0.0135,0.0035,0.0124,0.0548,0.0423
7,USA,0.0069,0.0007,0.0163,0.0541,0.0378
7,North Atlantic,0.0336,0.0038,0.0254,0.1176,0.0923
7,North Pacific,0.0163,0.0022,0.0175,0.0774,0.0599
7,Amsterdam FIR,0.065,0.0074,0.0348,0.2418,0.207
7,Athinai FIR,0.0052,0.0007,0.0128,0.033,0.0203
7,Barcelona FIR,0.026,0.0045,0.0407,0.1233,0.0826
7,Beograd FIR,0.0072,0.0005,0.0073,0.0354,0.0282
7,Bordeaux FIR,0.0525,0.0096,0.0671,0.2295,0.1624
7,Bratislava  FIR,0.0269,0.0014,0.0604,0.1682,0.1078
7,Bremen FIR,0.0761,0.0152,0.0581,0.2594,0.2012
7,Brest FIR,0.0643,0.0093,0.0589,0.2148,0.156
7,Brindisi FIR,0.0032,0.0002,0.0149,0.0307,0.0158
7,Brussels FIR,0.0627,0.0076,0.064,0.2735,0.2095
