Hour,Region,FL270-290,FL300-320,FL330-350,FL360-380,FL390-410,FL420-440
01-01 04,India,0.0,0.0,0.0,0.0,8.3e-05,0.00527
01-01 04,Istanbul FIR,0.010431,0.001673,0.0,0.0,0.0,0.0
01-01 04,Kiev FIR,0.01391,0.0,0.0,0.0,0.007359,0.0
01-01 04,Langen FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 04,Latin America,0.000298,0.011048,0.023899,0.034649,0.093114,0.102721
01-01 04,Lisboa FIR,0.0,0.003535,0.003407,0.0,0.0,0.0
01-01 04,Ljubljana FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 04,London FIR,0.210881,0.079067,0.0,0.0,0.0,0.0
01-01 04,Lvov FIR,0.039343,0.349787,0.231115,0.128551,0.09976,0.0
01-01 04,Madrid FIR,0.012689,0.038559,0.063351,0.0,0.0,0.0
01-01 04,Malta FIR,0.0,0.009532,0.006365,0.0,0.0,0.0
01-01 04,Marseille FIR,0.144523,0.483023,0.237804,0.021517,0.0,0.0
01-01 04,Milano FIR,0.172913,0.314372,0.100411,0.021483,0.0,0.0
01-01 04,Munchen FIR,0.176641,0.0,0.0,0.0,0.0,0.0
01-01 04,Nicosia FIR,0.0,0.016297,0.0,0.0,0.0,0.0
01-01 04,North Atlantic,0.051851,0.04162,0.036811,0.027444,0.00074,0.0
01-01 04,North Pacific,0.064574,0.07748,0.048555,0.022826,0.003723,0.0
01-01 04,Odessa FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 04,Paris FIR,0.058902,0.020894,0.0,0.0,0.0,0.0
01-01 04,Polaris FIR,0.070501,0.160435,0.077579,0.0178,0.007318,0.0
01-01 04,Praha FIR,0.139721,0.043889,0.0,0.004284,0.0,0.0
01-01 04,Reims FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 04,Reykjavik FIR,0.23078,0.260794,0.20215,0.074765,0.006145,0.0
01-01 04,Riga FIR,0.271673,0.443953,0.037469,0.0,0.0,0.0
01-01 04,Roma FIR,0.002686,0.158683,0.121845,0.047333,0.0,0.0
