Hour,Region,Very warming,Extremely warming,Cooling,Persistent contrails,Warming
01-01 04,Athinai FIR,0.001286,0.0,0.035846,0.114176,0.07833
01-01 04,Barcelona FIR,0.113195,0.003413,0.079928,0.389637,0.309709
01-01 04,Beograd FIR,0.037714,0.0,0.170852,0.450793,0.279941
01-01 04,Bodo Oceanic FIR,0.114456,0.044741,0.0,0.227832,0.227832
01-01 04,Bordeaux FIR,0.089632,0.000373,0.018239,0.401352,0.383113
01-01 04,Bratislava  FIR,0.326338,0.023859,0.0,0.571901,0.571901
01-01 04,Bremen FIR,0.054277,0.0,0.006194,0.122045,0.11585
01-01 04,Brest FIR,0.031403,0.000274,0.003514,0.129146,0.125632
01-01 04,Brindisi FIR,0.029738,0.0,0.000621,0.218441,0.21782
01-01 04,Brussels FIR,0.0,0.0,0.0,0.001505,0.001505
01-01 04,Bucarest FIR,0.010467,0.0,0.034539,0.179032,0.144493
01-01 04,Budapest FIR,0.193515,0.010659,0.00125,0.399879,0.398629
01-01 04,Canarias FIR,0.032081,0.001423,0.004951,0.083603,0.078652
01-01 04,China,0.008781,0.000746,0.053703,0.081366,0.027663
01-01 04,Chisinau FIR,0.000812,0.0,0.104769,0.258696,0.153928
01-01 04,Continental Europe,0.04547,0.001172,0.013369,0.202737,0.189368
01-01 04,Copenhagen FIR,0.052348,0.0,0.0,0.14153,0.14153
01-01 04,Dnipro FIR,0.0,0.0,0.002185,0.019925,0.01774
01-01 04,East Asia,0.006993,0.001153,0.033027,0.050121,0.017094
01-01 04,European Airspace,0.0389,0.006536,0.011818,0.164314,0.152495
01-01 04,Global,0.021857,0.005517,0.023646,0.081416,0.057771
01-01 04,Helsinki FIR,0.001003,0.0,0.0,0.014298,0.014298
01-01 04,India,0.000892,5e-06,0.009369,0.015275,0.005905
01-01 04,Istanbul FIR,0.002017,0.0,0.077868,0.2415,0.163633
01-01 04,Kiev FIR,0.003545,0.0,0.130925,0.475437,0.344512
01-01 04,Langen FIR,0.0,0.0,0.000228,0.028605,0.028377
01-01 04,Latin America,0.044288,0.012857,0.000322,0.099862,0.09954
01-01 04,Lisboa FIR,0.001157,0.0,0.001674,0.037311,0.035637
01-01 04,Ljubljana FIR,0.0,0.0,0.0,0.004955,0.004955
01-01 04,London FIR,0.048325,0.003193,0.001339,0.081223,0.079884
01-01 04,Lvov FIR,0.141426,0.0,0.041259,0.68156,0.640301
01-01 04,Madrid FIR,0.0191,0.0,0.017213,0.177784,0.160572
01-01 04,Malta FIR,0.002649,0.0,0.0,0.044358,0.044358
01-01 04,Marseille FIR,0.147811,0.009399,0.055257,0.410579,0.355322
01-01 04,Milano FIR,0.10153,0.005,0.0174,0.224081,0.206681
01-01 04,Munchen FIR,0.02944,0.0,0.002672,0.059802,0.05713
01-01 04,Nicosia FIR,0.002716,0.0,0.186991,0.325962,0.138971
01-01 04,North Atlantic,0.026411,0.000501,0.000283,0.093872,0.093589
01-01 04,North Pacific,0.036193,0.005114,0.045919,0.153833,0.107913
01-01 04,Odessa FIR,0.0,0.0,0.008506,0.039479,0.030973
01-01 04,Paris FIR,0.013299,0.0,0.001597,0.21923,0.217633
01-01 04,Polaris FIR,0.055605,0.009173,0.0,0.370254,0.370254
01-01 04,Praha FIR,0.031316,0.0,0.001753,0.289081,0.287329
01-01 04,Reims FIR,0.0,0.0,0.0,0.047475,0.047475
01-01 04,Reykjavik FIR,0.129106,0.047502,0.0,0.256455,0.256455
01-01 04,Riga FIR,0.125516,0.0,0.027078,0.64743,0.620352
01-01 04,Roma FIR,0.055091,0.00081,0.010018,0.232519,0.222502
01-01 04,Santa Maria FIR,0.028123,0.000987,0.000584,0.110161,0.109578
01-01 04,Sarajevo FIR,0.000615,0.0,0.03955,0.404767,0.365218
01-01 04,Scottish FIR,0.002488,0.0,0.0,0.022736,0.022736
01-01 04,Shannon FIR,0.030152,0.000598,0.0,0.047748,0.047748
01-01 04,Shanwick FIR,0.029269,0.001408,0.000101,0.168765,0.168664
01-01 04,Simferopol FIR,0.0,0.0,0.0,0.003941,0.003941
01-01 04,Skopje FIR,0.0,0.0,0.0,0.006302,0.006302
01-01 04,Sofia FIR,0.016073,0.0,0.024327,0.089723,0.065396
01-01 04,Southeast Asia,0.011016,0.002505,0.063058,0.106315,0.043257
01-01 04,Sweden FIR,0.039295,0.000475,0.002022,0.228808,0.226787
01-01 04,Switzerland FIR,0.0,0.0,0.0,0.0,0.0
01-01 04,Tallinn FIR,0.012501,0.0,0.0,0.12718,0.12718
01-01 04,Tibilisi FIR,0.0,0.0,0.0,0.004706,0.004706
01-01 04,Tirana FIR,0.032605,0.0,0.053871,0.246644,0.192774
01-01 04,USA,0.018944,0.001872,7e-06,0.058217,0.058209
01-01 04,Vilnius FIR,0.123263,0.0,0.023974,0.759515,0.735541
01-01 04,Warszawa FIR,0.091655,0.001718,0.00168,0.546407,0.544727
01-01 04,Wien FIR,0.0,0.0,0.0,0.04761,0.04761
