name,entries,exits,mean_count,timestamp
BRUSSELS FIR,44,23,13.384615384615385,adsb_2024_03_01_02_00_00_3600
BUCURESTI FIR,50,22,19.692307692307693,adsb_2024_03_01_02_00_00_3600
BUDAPEST FIR,29,22,8.461538461538462,adsb_2024_03_01_02_00_00_3600
CANARIAS FIR,16,9,5.076923076923077,adsb_2024_03_01_02_00_00_3600
CHISINAU FIR,3,0,1.5384615384615385,adsb_2024_03_01_02_00_00_3600
DNIPROPETROVSK FIR,0,0,,adsb_2024_03_01_02_00_00_3600
FINLAND FIR,12,3,5.0,adsb_2024_03_01_02_00_00_3600
FIR PRAHA,27,7,16.46153846153846,adsb_2024_03_01_02_00_00_3600
FIR SOFIA,72,30,32.61538461538461,adsb_2024_03_01_02_00_00_3600
ISTANBUL FIR,133,33,47.92307692307692,adsb_2024_03_01_02_00_00_3600
KOEBENHAVN FIR,20,4,12.307692307692308,adsb_2024_03_01_02_00_00_3600
KYIV FIR,0,0,,adsb_2024_03_01_02_00_00_3600
L'VIV FIR,0,0,,adsb_2024_03_01_02_00_00_3600
LANGEN FIR,75,24,24.076923076923077,adsb_2024_03_01_02_00_00_3600
LISBOA FIR,27,4,16.53846153846154,adsb_2024_03_01_02_00_00_3600
LJUBLJANA FIR,4,4,1.5,adsb_2024_03_01_02_00_00_3600
LONDON FIR,82,20,41.23076923076923,adsb_2024_03_01_02_00_00_3600
MADRID FIR,39,4,20.46153846153846,adsb_2024_03_01_02_00_00_3600
MALTA FIR,11,6,3.6153846153846154,adsb_2024_03_01_02_00_00_3600
MARSEILLE FIR,27,9,8.846153846153847,adsb_2024_03_01_02_00_00_3600
MILANO FIR,20,7,8.0,adsb_2024_03_01_02_00_00_3600
MUNICH FIR,56,22,17.846153846153847,adsb_2024_03_01_02_00_00_3600
NICOSIA FIR,45,30,16.615384615384617,adsb_2024_03_01_02_00_00_3600
NORWAY FIR,7,3,3.1666666666666665,adsb_2024_03_01_02_00_00_3600
ODESA FIR,0,0,,adsb_2024_03_01_02_00_00_3600
PARIS FIR,28,6,10.23076923076923,adsb_2024_03_01_02_00_00_3600
REIMS FIR,10,5,4.538461538461538,adsb_2024_03_01_02_00_00_3600
RIGA FIR,15,12,2.3846153846153846,adsb_2024_03_01_02_00_00_3600
ROMA FIR,21,7,9.692307692307692,adsb_2024_03_01_02_00_00_3600
SANTA MARIA OCEANIC FIR,5,1,1.2857142857142858,adsb_2024_03_01_02_00_00_3600
SARAJEVO FIR,7,6,2.272727272727273,adsb_2024_03_01_02_00_00_3600
SCOTTISH FIR,21,0,10.23076923076923,adsb_2024_03_01_02_00_00_3600
SHANNON FIR,20,2,5.461538461538462,adsb_2024_03_01_02_00_00_3600
