,origin_airport,total_fuel_burn,total_contrail_energy_forcing,total_co2,total_co2_forcing_20,total_co2_forcing_100,gwp20,gwp100,contrail_co2_eq_20,contrail_co2_eq_100,contrail_impact_category,id,name,city,country,iata,lat,lon,altitude,tz_offset,dst,tz,type,source
456,LESO,2565025.3393844734,744895098698279.5,8126000.275170012,3124184433169015.0,1.1503273226731102e+16,0.1001400359504167,0.027197123400169988,0.00040686897984431057,0.00011050191611680705,Low contrail climate impact,1242.0,San Sebastian Airport,San Sebastian,Spain,EAS,43.35649871826172,-1.7906099557876587,16.0,1,E,Europe/Madrid,airport,OurAirports
457,LEST,34377964.189283006,1.3936922579178736e+17,108909390.55164857,4.187214017541566e+16,1.5417357052035894e+17,1.3979480052208633,0.37966996959975713,0.07612483263574853,0.020674812499936246,Average contrail climate impact,1243.0,Santiago de Compostela Airport,Santiago,Spain,SCQ,42.89630126953125,-8.415140151977539,1213.0,1,E,Europe/Madrid,airport,OurAirports
458,LETL,56318.55444383907,-5347871846366.815,178417.18047808218,68595638565600.336,252569715220620.5,-0.03274415432879213,-0.00889301464156968,-2.9210598462411406e-06,-7.933332991495826e-07,Low contrail climate impact,11880.0,Teruel Airport,Teruel,Spain,TEV,40.403,-1.2183,3380.0,\N,\N,\N,airport,OurAirports
459,LETO,25997.76395435149,2965572565531.4946,82360.91620738553,31665109968417.766,116591199883713.95,0.03933479083968154,0.010682971603049872,1.6198247061910235e-06,4.3992966452233477e-07,Low contrail climate impact,1245.0,Torrejón Airport,Madrid,Spain,TOJ,40.496700286865234,-3.4458699226379395,2026.0,1,E,Europe/Madrid,airport,OurAirports
460,LEVC,112776324.7143122,6.001036905462702e+17,357275396.69494104,1.3736084111629768e+17,5.0576376645331366e+17,1.8349010386157927,0.49834244116951637,0.3277824982337083,0.08902274667938215,Average contrail climate impact,1246.0,Valencia Airport,Valencia,Spain,VLC,39.4893,-0.481625,240.0,1,E,Europe/Madrid,airport,OurAirports
461,LEVD,1651236.6163496447,1575623716145844.8,5231117.6005956745,2011195621761842.2,7405239109415989.0,0.32903908183806596,0.08936402336283837,0.0008606210661434737,0.00023373685773669343,Low contrail climate impact,1247.0,Valladolid Airport,Valladolid,Spain,VLL,41.7061004639,-4.85194015503,2776.0,1,E,Europe/Madrid,airport,OurAirports
462,LEVT,14257781.668230966,8.434361747567326e+16,45168652.3249557,1.736588674406581e+16,6.3941340312878296e+16,2.0398796710964273,0.5540127743091433,0.04606930782424976,0.012512005193176922,Average contrail climate impact,1249.0,Vitoria/Foronda Airport,Vitoria,Spain,VIT,42.8828010559082,-2.7244699001312256,1682.0,1,E,Europe/Madrid,airport,OurAirports
463,LEVX,8175619.742396783,8670752433207031.0,25900363.34391301,9957852477525474.0,3.666489615155823e+16,0.3657129918490135,0.09932432392262981,0.004736049684239474,0.0012862680392423116,Low contrail climate impact,1250.0,Vigo Airport,Vigo,Spain,VGO,42.2318000793457,-8.62677001953125,856.0,1,E,Europe/Madrid,airport,OurAirports
464,LEXJ,11836951.290676987,7.911614499837342e+16,37499461.68886469,1.4417330850769362e+16,5.308473283965288e+16,2.3047803538158815,0.6259573915477225,0.04321401128958333,0.011736532611602749,High contrail climate impact,1251.0,Santander Airport,Santander,Spain,SDR,43.42710113525391,-3.82000994682312,16.0,1,E,Europe/Madrid,airport,OurAirports
465,LEZG,83083730.97983347,3.291855223767456e+17,263209259.74411243,1.0119545214281837e+17,3.726025016137246e+17,1.3662463724467389,0.37106009433496645,0.17980434815989252,0.048833226375243524,Average contrail climate impact,1252.0,Zaragoza Air Base,Zaragoza,Spain,ZAZ,41.66619873046875,-1.0415500402450562,863.0,1,E,Europe/Madrid,airport,OurAirports
