date,fir_code,fir_name,big_hit_count
2019-01-08,UMKK,Kaliningrad FIR,0
2019-01-08,UMMV,Minsk FIR,0
2019-01-08,UNNT,Novosibirsk FIR,1
2019-01-08,URRV,Rostov-Na-Donu FIR,0
2019-01-08,USSV,Yekaterinburg FIR,2
2019-01-08,UUWV,Moscow FIR,18
2019-01-08,UWWW,Samara FIR,0
2019-01-09,BIRD,Reykjavik FIR,8
2019-01-09,EBBU,Brussels FIR,17
2019-01-09,EDGG,Langen FIR,70
2019-01-09,EDMM,Munchen FIR,23
2019-01-09,EDWW,Bremen FIR,2
2019-01-09,EETT,Tallinn FIR,0
2019-01-09,EFIN,Helsinki FIR,22
2019-01-09,EGPX,Scottish FIR,3
2019-01-09,EGTT,London FIR,87
2019-01-09,EHAA,Amsterdam FIR,35
2019-01-09,EISN,Shannon FIR,8
2019-01-09,EKDK,Copenhagen FIR,18
2019-01-09,ENOR,Polaris FIR,26
2019-01-09,EPWW,Warszawa FIR,6
2019-01-09,ESAA,Sweden FIR,19
2019-01-09,EVRR,Riga FIR,0
2019-01-09,EYVL,Vilnius FIR,2
2019-01-09,GCCC,Canarias FIR,6
2019-01-09,GMMM,Casablanca FIR,0
2019-01-09,LAAA,Tirana FIR,0
2019-01-09,LBSR,Sofia FIR,1
2019-01-09,LDZO,Zagreb FIR,0
2019-01-09,LECB,Barcelona FIR,4
2019-01-09,LECM,Madrid FIR,31
2019-01-09,LFBB,Bordeaux FIR,0
2019-01-09,LFEE,Reims FIR,0
2019-01-09,LFFF,Paris FIR,49
2019-01-09,LFMM,Marseille FIR,1
2019-01-09,LFRR,Brest FIR,0
2019-01-09,LGGG,Athinai FIR,11
2019-01-09,LHCC,Budapest FIR,2
2019-01-09,LIBB,Brindisi FIR,1
2019-01-09,LIMM,Milano FIR,13
2019-01-09,LIRR,Roma FIR,14
2019-01-09,LJLA,Ljubljana FIR,2
2019-01-09,LKAA,Praha FIR,2
2019-01-09,LMMM,Malta FIR,0
2019-01-09,LOVV,Wien FIR,4
2019-01-09,LPPC,Lisboa FIR,15
2019-01-09,LPPO,Santa Maria FIR,0
2019-01-09,LQSB,Sarajevo FIR,0
2019-01-09,LRBB,Bucarest FIR,3
2019-01-09,LSAS,Switzerland FIR,14
2019-01-09,LUUU,Chisinau FIR,0
2019-01-09,LWSS,Skopje FIR,0
2019-01-09,LYBA,Beograd FIR,0
2019-01-09,LZBB,Bratislava  FIR,1
2019-01-09,UKBV,Kiev FIR,0
2019-01-09,UKDV,Dnipro FIR,0
